Name EN,Name AR,Category EN,Category AR,Description EN,Description AR,Price,Currency,Sizes,Weight,Metadata,Available
Martblue Breakfast,فطور مارت بلو,Breakfast,فطور,"Omelette with mushroom, colored pepper mix green - baguette bread",أوملت مع مشروم وفلفل ملون وخضار مشكلة - خبز باغيت,175,EGP,Regular,242 gram,,1
Cheddar Madness,شيدر ماد نيس,Breakfast,فطور,"Omelette with hash browns potatos, baguette bread and cheese sauce",أوملت مع هاش براون بطاطس وخبز باغيت وصوص جبن,187,EGP,Regular,243 gram,,1
Oriental Breakfast,فطور شرقي,Breakfast,فطور,"Loaves of bread, bean, cheese, fries, omelette, tomato and 2 taameya",أرغفة خبز، فول، جبن، بطاطس، أوملت، طماطم وتعمية 2,185,EGP,Regular,244 gram,,1
Vanilla Muffin,مافن الفانيليا,Muffin,مافن,"Luxurious vanilla muffin, freshly prepared daily with a rich natural vanilla flavor, a soft and tender texture that melts in your mouth.",مافن فانيليا فاخر، يُحضر يومياً طازجاً بنكهة فانيليا طبيعية غنية وقوام ناعم وطري يذوب في فمك.,139,EGP,Regular,245 gram,,1
Blueberry Muffin,مافن البلوبيري,Muffin,مافن,"A delicious muffin flavored with fresh blueberries, featuring a moist and soft texture with juicy berry bursts in every bite.",مافن لذيذ منكه بالبلوبيري الطازج بقوام رطب وناعم مع انفجارات توت عصيرية في كل قضمة.,139,EGP,Regular,246 gram,,1
Chocolate Muffin,مافن الشوكولاتة,Muffin,مافن,"A soft and delicious chocolate muffin, made daily with the finest Belgian chocolate, with generous chocolate chips inside. Served hot and fresh.",مافن شوكولاتة ناعم ولذيذ، يُصنع يومياً من أجود أنواع الشوكولاتة البلجيكية مع قطع شوكولاتة سخية بالداخل. يُقدم ساخناً وطازجاً.,149,EGP,Regular,247 gram,,1
Classic Burger,برجر كلاسيك,Beef Burger,برجر لحم,"Beef burger, Iceberg Lettuce, Tomato, Pickled cucumber, Cheese sauce, Onion, served with fries",برجر لحم، خس أيسبرج، طماطم، خيار مخلل، صوص جبن، بصل. يُقدم مع بطاطس,285,EGP,Regular,248 gram,,1
Tex Burger,برجر تيكس,Beef Burger,برجر لحم,"Beef burger, our special Tex sauce, Iceberg Lettuce, Tomato, Pickled cucumber, Onion, served with fries",برجر لحم، صوص تيكس الخاص بنا، خس أيسبرج، طماطم، خيار مخلل، بصل. يُقدم مع بطاطس,333,EGP,Regular,249 gram,,1
Smoked Burger,برجر مدخن,Beef Burger,برجر لحم,"Beef, Iceberg Lettuce, Tomato, Pickled cucumber, Mushroom, BBQ sauce, Cheese, with caramelized onions, served with fries",لحم، خس أيسبرج، طماطم، خيار مخلل، مشروم، صوص باربيكيو، جبن مع بصل مكرمل. يُقدم مع بطاطس,305,EGP,Regular,250 gram,,1
Cholo's Burger,برجر تشولو,Beef Burger,برجر لحم,"Beef burger, Jalapeño slices, Buffalo sauce, Iceberg Lettuce, Cheddar Cheese, Onion, served with fries",برجر لحم، شرائح هالبينيو، صوص بافالو، خس أيسبرج، جبن شيدر، بصل. يُقدم مع بطاطس,299,EGP,Regular,251 gram,,1
Blue Cheese Burger,برجر الجبن الأزرق,Beef Burger,برجر لحم,"Beef burger, Blue Cheese, Mayonnaise sauce, Pickled cucumber, Iceberg Lettuce, served with fries",برجر لحم، جبن أزرق، صوص مايونيز، خيار مخلل، خس أيسبرج. يُقدم مع بطاطس,319,EGP,Regular,252 gram,,1
Chicken Scallopini,سكالوبيني الدجاج,Main Dishes,أطباق رئيسية,"Fried chicken breasts with milk cream, smoked beef and colored pepper",صدور دجاج مقلية مع كريمة الحليب واللحم المدخن والفلفل الملون,445,EGP,Regular,253 gram,,1
Chicken Bombay Curry,دجاج بومباي كاري,Main Dishes,أطباق رئيسية,"Chicken breasts, curry sauce, and pineapple juice",صدور دجاج وصوص كاري وعصير أناناس,333,EGP,Regular,254 gram,,1
Mix Grill,مشاوي مشكلة,Main Dishes,أطباق رئيسية,"2 Pieces of kofta, 2 pieces of shish, 2 pieces of meat kebab and khalta rice",2 قطعة كفتة، 2 قطعة شيش، 2 قطعة كباب لحم وأرز خلطة,545,EGP,Regular,255 gram,,1
Sweet Chili Shrimp,جمبري بالشيلي الحلو,Main Dishes,أطباق رئيسية,"Shrimp with sweet chili sauce, onion and colored peppers",جمبري مع صوص شيلي حلو وبصل وفلفل ملون,525,EGP,Regular,256 gram,,1
Chicken Parmesan,دجاج بارميزان,Main Dishes,أطباق رئيسية,Fried chicken with mozzarella cheese and pesto sauce,دجاج مقلي مع جبن موزاريلا وصوص بيستو,388,EGP,Regular,257 gram,,1
Scallop Bianco,سكالوب بيانكو,Main Dishes,أطباق رئيسية,"Veal with smoky turkey, mozzarella cheese, and red sauce pasta",لحم عجل مع ديك رومي مدخن وجبن موزاريلا وباستا بصوص أحمر,562,EGP,Regular,258 gram,,1
Chicken Lemon,دجاج بالليمون,Main Dishes,أطباق رئيسية,"Chicken breasts, white sauce, lemon, and parmesan cheese",صدور دجاج وصوص أبيض وليمون وجبن بارميزان,357,EGP,Regular,259 gram,,1
Grilled Chicken,دجاج مشوي,Main Dishes,أطباق رئيسية,"Served with 2 sauces of your choice mushroom sauce, mustard sauce, blue cheese sauce, and harp sauce",يُقدم مع صوصين من اختيارك: صوص مشروم، صوص خردل، صوص جبن أزرق، وصوص الهارب,354,EGP,Regular,260 gram,,1
Scallop Milanese,سكالوب ميلانيزي,Main Dishes,أطباق رئيسية,"Veal with arugula, parmesan cheese, cherry tomatoes, balsamic vinegar, and roasted",لحم عجل مع جرجير وجبن بارميزان وطماطم كرزية وخل البلسمك ومحمص,542,EGP,Regular,261 gram,,1
Grilled Beef Fillet,فيليه لحم مشوي,Main Dishes,أطباق رئيسية,Grilled meat fillet with your choice of sauce,فيليه لحم مشوي مع صوص من اختيارك,512,EGP,Regular,262 gram,,1
V. Cola,في كولا,Soft Drinks,مشروبات غازية,,,105,EGP,Regular,263 gram,,1
Redbull,ريد بول,Soft Drinks,مشروبات غازية,,,136,EGP,Regular,264 gram,,1
Small Water,مياه صغيرة,Soft Drinks,مشروبات غازية,Small water.,مياه صغيرة.,26,EGP,Regular,265 gram,,1
Apple Soda,صودا تفاح,Soft Drinks,مشروبات غازية,"A refreshing apple soda with a sweet and sour natural apple flavor, perfect to enjoy cold at any time of the day.",صودا تفاح منعشة بنكهة تفاح طبيعية حلوة وحامضة، مثالية للاستمتاع بها باردة في أي وقت من اليوم.,105,EGP,Regular,266 gram,,1
7 Up Soda,صودا 7 أب,Soft Drinks,مشروبات غازية,"Refreshing 7 Up soda with a delicious citrus flavor and high fizziness, served cold, perfect for quenching thirst anytime.",صودا 7 أب منعشة بنكهة حمضية لذيذة وفوران عالٍ، تُقدم باردة، مثالية لإرواء العطش في أي وقت.,105,EGP,Regular,267 gram,,1
Lemon Soda,صودا ليمون,Soft Drinks,مشروبات غازية,"A refreshing and fizzy lemon soda with a delicious tart lemon flavor, perfect for enjoying cold any time of day.",صودا ليمون منعشة وفوارة بنكهة ليمون لاذعة لذيذة، مثالية للاستمتاع بها باردة في أي وقت من اليوم.,105,EGP,Regular,268 gram,,1
Orange Soda,صودا برتقال,Soft Drinks,مشروبات غازية,"A refreshing orange soda with a delicious natural orange flavor and fine bubbles, served iced for a great refreshment in every sip.",صودا برتقال منعشة بنكهة برتقال طبيعية لذيذة وفقاعات ناعمة، تُقدم مثلجة لانتعاش رائع في كل رشفة.,105,EGP,Regular,269 gram,,1
Mango Peach,مانجو بيتش,Cocktail,كوكتيل,"Mango, peach, ice cream vanilla, milk",مانجو، خوخ، آيس كريم فانيليا، حليب,155,EGP,Regular,270 gram,,1
Stage Cocktail VIP,كوكتيل ستيج VIP,Cocktail,كوكتيل,"Avocado, arugula, banana, kiwi honey, milk",أفوكادو، جرجير، موز، عسل كيوي، حليب,175,EGP,Regular,271 gram,,1
Relax,ريلاكس,Cocktail,كوكتيل,"Orange, guava, fresh mint, honey",برتقال، جوافة، نعناع طازج، عسل,155,EGP,Regular,272 gram,,1
Florida,فلوريدا,Cocktail,كوكتيل,"Mango, strawberry, guava",مانجو، فراولة، جوافة,155,EGP,Regular,273 gram,,1
Hibiscus,كركديه,Hot Drinks,مشروبات ساخنة,"A refreshing beverage made from hibiscus flowers, offering a tart and floral taste.",مشروب منعش مصنوع من أزهار الكركديه يتميز بطعم حامض وزهري.,76,EGP,Regular,274 gram,,1
Cinnamon With Milk,قرفة بالحليب,Hot Drinks,مشروبات ساخنة,A creamy blend of milk and cinnamon.,مزيج كريمي من الحليب والقرفة.,111,EGP,Regular,275 gram,,1
Hot Chocolate,شوكولاتة ساخنة,Hot Drinks,مشروبات ساخنة,Hot chocolate made with chocolate and warm milk.,شوكولاتة ساخنة مصنوعة بالشوكولاتة والحليب الدافئ.,149,EGP,Regular,276 gram,,1
Green Tea,شاي أخضر,Hot Drinks,مشروبات ساخنة,"Green tea, brewed from unoxidized tea leaves, with a fresh, slightly earthy taste.",شاي أخضر، مُحضر من أوراق شاي غير مؤكسدة بطعم طازج وترابي خفيف.,74,EGP,Regular,277 gram,,1
Kettle Tea,شاي إبريق,Hot Drinks,مشروبات ساخنة,Hot tea served in a kettle.,شاي ساخن يُقدم في إبريق.,115,EGP,Regular,278 gram,,1
Tea,شاي,Hot Drinks,مشروبات ساخنة,Hot brewed tea.,شاي ساخن مُحضر.,68,EGP,Regular,279 gram,,1
Hot Mint,نعناع ساخن,Hot Drinks,مشروبات ساخنة,A hot infusion made from fresh mint leaves.,منقوع ساخن مصنوع من أوراق النعناع الطازجة.,84,EGP,Regular,280 gram,,1
Magic Drink,ماجيك درينك,Hot Drinks,مشروبات ساخنة,Anise lemon-cinnamon-honey-mint,يانسون، ليمون، قرفة، عسل، نعناع,144,EGP,Regular,281 gram,,1
Apple Cider,عصير تفاح ساخن,Hot Drinks,مشروبات ساخنة,"Freshly pressed apples, offering a sweet and tart flavor.",تفاح معصور طازج بنكهة حلوة ولاذعة.,144,EGP,Regular,282 gram,,1
Ginger,زنجبيل,Hot Drinks,مشروبات ساخنة,"Fresh ginger root blended into a zesty, aromatic juice.",جذر زنجبيل طازج ممزوج في عصير حيوي وعطري.,84,EGP,Regular,283 gram,,1
Anise,يانسون,Hot Drinks,مشروبات ساخنة,"A drink prepared from anise seeds, offering a distinct licorice-like flavor.",مشروب محضر من بذور اليانسون يتميز بنكهة عرق السوس المميزة.,84,EGP,Regular,284 gram,,1
Pineapple Cider,سيدر الأناناس,Hot Drinks,مشروبات ساخنة,Sparkling pineapple drink with a sweet and tangy flavor.,مشروب أناناس فوار بنكهة حلوة ولاذعة.,144,EGP,Regular,285 gram,,1
Lotus Crepe,كريب اللوتس,Crepes,كريب,Crepe with lotus and soft cream filling with a touch of biscuit.,كريب بحشوة لوتس وكريمة ناعمة مع لمسة بسكويت.,109,EGP,Regular,286 gram,,1
Pistachio Crepe,كريب الفستق,Crepes,كريب,Crepe filled with rich pistachio cream and garnished with a sprinkle of crushed pistachios.,كريب محشو بكريمة فستق غنية ومزين برشة فستق مطحون.,115,EGP,Regular,287 gram,,1
Caramel Crepe,كريب الكراميل,Crepes,كريب,Light crepe featuring a smooth caramel sauce with a sweet and balanced flavor.,كريب خفيف بصوص كراميل ناعم بنكهة حلوة ومتوازنة.,105,EGP,Regular,288 gram,,1
Honey Crepe,كريب العسل,Crepes,كريب,Fresh crepes filled with natural honey for a light and healthy meal.,كريب طازج محشو بالعسل الطبيعي لوجبة خفيفة وصحية.,105,EGP,Regular,289 gram,,1
Mix Fruits Crepe,كريب الفاكهة المشكلة,Crepes,كريب,Crepe filled with a seasonal fruit selection with a natural and refreshing taste.,كريب محشو بتشكيلة فاكهة موسمية بطعم طبيعي ومنعش.,125,EGP,Regular,290 gram,,1
Mix Berries Crepe,كريب التوت المشكل,Crepes,كريب,Crepe with a mix of berries and a refreshing fruit sauce.,كريب مع خليط من التوت وصوص فاكهة منعش.,115,EGP,Regular,291 gram,,1
Chocolate Crepe,كريب الشوكولاتة,Crepes,كريب,Thin crepe stuffed and topped with rich chocolate sauce.,كريب رقيق محشو ومغطى بصوص شوكولاتة غني.,105,EGP,Regular,292 gram,,1
Honey Waffle,وافل العسل,Waffle,وافل,Fresh waffles served with natural honey for a light and special flavor.,وافل طازج يُقدم مع عسل طبيعي لنكهة خفيفة ومميزة.,150,EGP,Regular,293 gram,,1
Mix Fruits Waffle,وافل الفاكهة المشكلة,Waffle,وافل,Waffles decorated with fresh seasonal fruits and tempting colors.,وافل مزين بفاكهة موسمية طازجة وألوان مغرية.,195,EGP,Regular,294 gram,,1
Chocolate Waffle,وافل الشوكولاتة,Waffle,وافل,Crispy waffles soaked in thick chocolate sauce.,وافل مقرمش مغموس في صوص شوكولاتة كثيف.,150,EGP,Regular,295 gram,,1
Lotus Waffle,وافل اللوتس,Waffle,وافل,Golden waffle topped with Lotus sauce and cream and crushed Lotus biscuits.,وافل ذهبي مغطى بصوص اللوتس والكريمة وبسكويت لوتس مطحون.,154,EGP,Regular,296 gram,,1
Caramel Waffle,وافل الكراميل,Waffle,وافل,Crispy waffles garnished with golden caramel sauce for a warm and sweet taste.,وافل مقرمش مزين بصوص كراميل ذهبي لطعم دافئ وحلو.,150,EGP,Regular,297 gram,,1
Pistachio Waffle,وافل الفستق,Waffle,وافل,Soft waffle topped with a premium pistachio sauce and a touch of toasted nuts.,وافل ناعم مغطى بصوص فستق فاخر ولمسة مكسرات محمصة.,160,EGP,Regular,298 gram,,1
Mix Berries Waffle,وافل التوت المشكل,Waffle,وافل,Crispy waffle topped with mixed berries and tangy fruit sauce.,وافل مقرمش مغطى بتوت مشكل وصوص فاكهة لاذع.,160,EGP,Regular,299 gram,,1
Cherry Cola,كولا كرز,Soda,صودا,"A refreshing and fizzy cherry cola with a delicious natural cherry flavor, served very cold for a true refreshment in every sip.",كولا كرز منعشة وفوارة بنكهة كرز طبيعية لذيذة، تُقدم باردة جداً لانتعاش حقيقي في كل رشفة.,144,EGP,Regular,300 gram,,1
Sunrise,صن رايز,Soda,صودا,"A refreshing orange-colored soda drink with a delicious tangy taste, served cold with ice for a refreshing and delicious experience anytime.",مشروب صودا بلون برتقالي منعش بطعم لاذع لذيذ، يُقدم بارداً مع الثلج لتجربة منعشة ولذيذة في أي وقت.,144,EGP,Regular,301 gram,,1
Sunshine,صن شاين,Soda,صودا,,,129,EGP,Regular,302 gram,,1
Electric Lemon,ليمون إلكتريك,Soda,صودا,"A refreshing soda drink with a natural tart sour lemon flavor, with smooth soft fizzy bubbles, and a delicious taste that quenches thirst anytime.",مشروب صودا منعش بنكهة ليمون حامضة طبيعية مع فقاعات ناعمة وخفيفة وطعم لذيذ يُطفئ العطش في أي وقت.,144,EGP,Regular,303 gram,,1
Scotch Mint,نعناع سكوتش,Soda,صودا,"A refreshing scotch mint drink with a distinctive natural mint flavor, served cold for a delicious and unique drinking experience.",مشروب نعناع سكوتش منعش بنكهة نعناع طبيعية مميزة، يُقدم بارداً لتجربة شرب لذيذة وفريدة.,144,EGP,Regular,304 gram,,1
Quattro Formaggi Napolitana Pizza,بيتزا كواترو فوراماجي نابوليتانا,Pizza Napolitana,بيتزا نابوليتانا,"Pizza sauce, buffalo mozzarella cheese, parmesan cheese, yellow cheddar cheese, blue cheese and red cheddar cheese",صوص بيتزا، جبن موزاريلا بوفالو، جبن بارميزان، جبن شيدر أصفر، جبن أزرق وجبن شيدر أحمر,377,EGP,Regular,305 gram,"{""sizes"":[""Small"",""Medium"",""Large""],""size_details"":{""small"":{""name_en"":""Small"",""name_ar"":""صغير"",""diameter_en"":""9 inches"",""diameter_ar"":""٢٣ سم"",""weight_en"":""300g"",""weight_ar"":""٣٠٠ جرام"",""serves_en"":""Serves 1 person"",""serves_ar"":""يكفي فرد واحد"",""price"":100.0},""medium"":{""name_en"":""Medium"",""name_ar"":""وسط"",""diameter_en"":""12 inches"",""diameter_ar"":""٣٠ سم"",""weight_en"":""450g"",""weight_ar"":""٤٥٠ جرام"",""serves_en"":""Serves 2-3 people"",""serves_ar"":""يكفي ٢-٣ أفراد"",""price"":130.0},""large"":{""name_en"":""Large"",""name_ar"":""كبير"",""diameter_en"":""15 inches"",""diameter_ar"":""٣٨ سم"",""weight_en"":""650g"",""weight_ar"":""٦٥٠ جرام"",""serves_en"":""Serves 4 people"",""serves_ar"":""يكفي ٤ أفراد"",""price"":180.0}}}",1
Shrimp Napolitana Pizza,بيتزا الجمبري نابوليتانا,Pizza Napolitana,بيتزا نابوليتانا,"Pizza sauce, buffalo cheese, colored pepper, shrimp, and fresh arugula",صوص بيتزا، جبن بوفالو، فلفل ملون، جمبري وجرجير طازج,488,EGP,Regular,306 gram,"{""sizes"":[""Small"",""Medium"",""Large""],""size_details"":{""small"":{""name_en"":""Small"",""name_ar"":""صغير"",""diameter_en"":""9 inches"",""diameter_ar"":""٢٣ سم"",""weight_en"":""300g"",""weight_ar"":""٣٠٠ جرام"",""serves_en"":""Serves 1 person"",""serves_ar"":""يكفي فرد واحد"",""price"":100.0},""medium"":{""name_en"":""Medium"",""name_ar"":""وسط"",""diameter_en"":""12 inches"",""diameter_ar"":""٣٠ سم"",""weight_en"":""450g"",""weight_ar"":""٤٥٠ جرام"",""serves_en"":""Serves 2-3 people"",""serves_ar"":""يكفي ٢-٣ أفراد"",""price"":130.0},""large"":{""name_en"":""Large"",""name_ar"":""كبير"",""diameter_en"":""15 inches"",""diameter_ar"":""٣٨ سم"",""weight_en"":""650g"",""weight_ar"":""٦٥٠ جرام"",""serves_en"":""Serves 4 people"",""serves_ar"":""يكفي ٤ أفراد"",""price"":180.0}}}",1
Salami Napolitana Pizza,بيتزا سالامي نابوليتانا,Pizza Napolitana,بيتزا نابوليتانا,"Pizza sauce, buffalo mozzarella phalanx, salami and jalapeno",صوص بيتزا، كتلة موزاريلا بوفالو، سالامي وهالبينيو,386,EGP,Regular,307 gram,"{""sizes"":[""Small"",""Medium"",""Large""],""size_details"":{""small"":{""name_en"":""Small"",""name_ar"":""صغير"",""diameter_en"":""9 inches"",""diameter_ar"":""٢٣ سم"",""weight_en"":""300g"",""weight_ar"":""٣٠٠ جرام"",""serves_en"":""Serves 1 person"",""serves_ar"":""يكفي فرد واحد"",""price"":100.0},""medium"":{""name_en"":""Medium"",""name_ar"":""وسط"",""diameter_en"":""12 inches"",""diameter_ar"":""٣٠ سم"",""weight_en"":""450g"",""weight_ar"":""٤٥٠ جرام"",""serves_en"":""Serves 2-3 people"",""serves_ar"":""يكفي ٢-٣ أفراد"",""price"":130.0},""large"":{""name_en"":""Large"",""name_ar"":""كبير"",""diameter_en"":""15 inches"",""diameter_ar"":""٣٨ سم"",""weight_en"":""650g"",""weight_ar"":""٦٥٠ جرام"",""serves_en"":""Serves 4 people"",""serves_ar"":""يكفي ٤ أفراد"",""price"":180.0}}}",1
Vegetable Napolitana Pizza,بيتزا الخضار نابوليتانا,Pizza Napolitana,بيتزا نابوليتانا,"Pizza sauce, buffalo mozzarella cheese, colored pepper, olive, fresh mushroom and onion",صوص بيتزا، جبن موزاريلا بوفالو، فلفل ملون، زيتون، مشروم طازج وبصل,288,EGP,Regular,308 gram,"{""sizes"":[""Small"",""Medium"",""Large""],""size_details"":{""small"":{""name_en"":""Small"",""name_ar"":""صغير"",""diameter_en"":""9 inches"",""diameter_ar"":""٢٣ سم"",""weight_en"":""300g"",""weight_ar"":""٣٠٠ جرام"",""serves_en"":""Serves 1 person"",""serves_ar"":""يكفي فرد واحد"",""price"":100.0},""medium"":{""name_en"":""Medium"",""name_ar"":""وسط"",""diameter_en"":""12 inches"",""diameter_ar"":""٣٠ سم"",""weight_en"":""450g"",""weight_ar"":""٤٥٠ جرام"",""serves_en"":""Serves 2-3 people"",""serves_ar"":""يكفي ٢-٣ أفراد"",""price"":130.0},""large"":{""name_en"":""Large"",""name_ar"":""كبير"",""diameter_en"":""15 inches"",""diameter_ar"":""٣٨ سم"",""weight_en"":""650g"",""weight_ar"":""٦٥٠ جرام"",""serves_en"":""Serves 4 people"",""serves_ar"":""يكفي ٤ أفراد"",""price"":180.0}}}",1
Barbecue Chicken Napolitana Pizza,بيتزا دجاج باربيكيو نابوليتانا,Pizza Napolitana,بيتزا نابوليتانا,"Pizza sauce, buffalo mozzarella cheese, chicken grill, afanti red cheddar cheese and barbecue",صوص بيتزا، جبن موزاريلا بوفالو، دجاج مشوي، جبن شيدر أحمر أفانتي وباربيكيو,344,EGP,Regular,309 gram,,1
Richie's Chicken Napolitana Pizza,بيتزا دجاج ريتشي نابوليتانا,Pizza Napolitana,بيتزا نابوليتانا,"Pizza sauce, buffalo mozzarella cheese, chicken grill, cherry tomatoes, colored pepper and ranch",صوص بيتزا، جبن موزاريلا بوفالو، دجاج مشوي، طماطم كرزية، فلفل ملون وصوص رانش,392,EGP,Regular,310 gram,,1
Sausage Napolitana Pizza,بيتزا السجق نابوليتانا,Pizza Napolitana,بيتزا نابوليتانا,"Pizza sauce, buffalo mozzarella cheese, sausage, red pepper, and jalapeno and onion",صوص بيتزا، جبن موزاريلا بوفالو، سجق، فلفل أحمر وهالبينيو وبصل,387,EGP,Regular,311 gram,,1
Creamy Pesto Chicken Napolitana Pizza,بيتزا دجاج بيستو كريمي نابوليتانا,Pizza Napolitana,بيتزا نابوليتانا,"Creamy pesto sauce, buffalo mozzarella, cherry tomatoes, parmesan cheese and chicken",صوص بيستو كريمي، موزاريلا بوفالو، طماطم كرزية، جبن بارميزان ودجاج,399,EGP,Regular,312 gram,,1
Tomato Pizel Napolitana Pizza,بيتزا طماطم بيزيل نابوليتانا,Pizza Napolitana,بيتزا نابوليتانا,"Pizza sauce, buffalo mozzarella cheese, basil and olive oil",صوص بيتزا، جبن موزاريلا بوفالو، ريحان وزيت زيتون,266,EGP,Regular,313 gram,"{""sizes"":[""Small"",""Medium"",""Large""],""size_details"":{""small"":{""name_en"":""Small"",""name_ar"":""صغير"",""diameter_en"":""9 inches"",""diameter_ar"":""٢٣ سم"",""weight_en"":""300g"",""weight_ar"":""٣٠٠ جرام"",""serves_en"":""Serves 1 person"",""serves_ar"":""يكفي فرد واحد"",""price"":100.0},""medium"":{""name_en"":""Medium"",""name_ar"":""وسط"",""diameter_en"":""12 inches"",""diameter_ar"":""٣٠ سم"",""weight_en"":""450g"",""weight_ar"":""٤٥٠ جرام"",""serves_en"":""Serves 2-3 people"",""serves_ar"":""يكفي ٢-٣ أفراد"",""price"":130.0},""large"":{""name_en"":""Large"",""name_ar"":""كبير"",""diameter_en"":""15 inches"",""diameter_ar"":""٣٨ سم"",""weight_en"":""650g"",""weight_ar"":""٦٥٠ جرام"",""serves_en"":""Serves 4 people"",""serves_ar"":""يكفي ٤ أفراد"",""price"":180.0}}}",1
Mushroom Soup,شوربة المشروم,Soup,شوربة,Smooth cream rich with fresh mushrooms for a warming taste.,كريمة ناعمة غنية بالمشروم الطازج لطعم دافئ.,115,EGP,Regular,314 gram,,1
Cream Chicken Soup,شوربة الدجاج بالكريمة,Soup,شوربة,"Tender chicken pieces in a creamy, rich in flavor soup.",قطع دجاج طرية في شوربة كريمية غنية بالنكهة.,133,EGP,Regular,315 gram,,1
Lentil Soup,شوربة العدس,Soup,شوربة,"Cooked lentils with oriental spices, a nourishing and warming soup.",عدس مطبوخ مع بهارات شرقية، شوربة مغذية ودافئة.,99,EGP,Regular,316 gram,,1
Seafood Soup,شوربة المأكولات البحرية,Soup,شوربة,A selection of seafood in a broth rich with fresh marine flavors.,تشكيلة من المأكولات البحرية في مرق غني بنكهات بحرية طازجة.,235,EGP,Regular,317 gram,,1
Tomato Soup,شوربة الطماطم,Soup,شوربة,Velvety soup of fresh tomatoes with a touch of herbs.,شوربة مخملية من الطماطم الطازجة مع لمسة من الأعشاب.,97,EGP,Regular,318 gram,,1
